Product ID,Product Name,Category,Mapped Make (Brand),Mapped Model,Vehicle Type,Vehicle Details ID
9983,"3-in-1 Orthopedic Memory Foam Back Seat Cushion",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
10033,"Autoform Car Back Seat Organiser – Smart Storage for a Clutter-Free Ride",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
9993,"Back Rest Pad for 2-Wheeler (RE) – Ultimate Comfort & Support",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),2W,654
9235,"Back Support | Lumbar Support (L4) | Lumbar Support Backrest Chair Pillows",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
9997,"Bike Full Flap Tank Cover – Premium Protection & Utility",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),2W,654
9992,"Bike Full Tank Cover – Stylish & Protective Shield for Your Fuel Tank",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),2W,654
10037,"Car Back Seat Coat Folding Hanger",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
9244,"Car Back Seat Organizer",Accessories,Universal,Universal,4W,279
10015,"Car Cup Tissue Holder – Black & Green",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
10016,"Car Cup Tissue Holder – Black & Red",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
10017,"Car Cup Tissue Holder – Black & White",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
10018,"Car Cup Tissue Holder – Tan",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
8986,"Car Damping Sheets",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
9232,"car duster",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
9233,"Car Duster Brush For Dusting & Cleaning Water Saver & Eco-Friendly",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
9251,"Car Odour Eliminator",Accessories,Universal,Universal,4W,277
9236,"Car Seat Cushion Polyfill",Accessories,Universal,Universal,4W,277
9247,"Car Seat Cushion Polyfill",Accessories,Universal,Universal,4W,277
9994,"Chest Guard for Bikers – Ultimate Safety & Comfort",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),2W,654
9237,"Cushion Pillow Memory Foam Set of 2",Accessories,Universal,Universal,4W,277
9248,"Cushion Pillow Polyfill Quilted Set of 2",Accessories,Universal,Universal,4W,277
9238,"Cushion Pillow Polyfill Set of 2",Accessories,Universal,Universal,4W,277
9995,"Eco Flat Rope (Blue & Black) – Durable & Stylish Utility Rope",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),2W,654
9998,"Eco Round Rope",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),2W,654
10007,"EMPORIO Auto Cut Air Inflator – 150W Power",Accessories,UNIVERSAL (NULL),UNIVERSAL (NULL),4W,229
